rodada,Polinomial q=9 - MSE,Polinomial q=9 - R2,MQO tradicional - MSE,MQO tradicional - R2,MQO regularizado lambda=0.25 - MSE,MQO regularizado lambda=0.25 - R2,MQO regularizado lambda=0.5 - MSE,MQO regularizado lambda=0.5 - R2,MQO regularizado lambda=0.75 - MSE,MQO regularizado lambda=0.75 - R2,MQO regularizado lambda=1 - MSE,MQO regularizado lambda=1 - R2
76,2.261218305196935e+22,0.9978120731399961,4.966614565245844e+24,0.5194365185522634,4.996788099341878e+24,0.5165169647189058,5.02694813275002e+24,0.5135987171954081,5.057089466445033e+24,0.5106822790330203,5.087207136827853e+24,0.507768130503448
77,6.539556128496602e+21,0.9994894043288965,6.506739812158151e+24,0.4919665622859337,6.543788491164006e+24,0.4890738743498124,6.58062475979648e+24,0.48619777099757044,6.617248780330025e+24,0.4833382395591379,6.653660786517446e+24,0.4804952617835557
78,2.161659841263147e+22,0.9976005371701236,4.327239622319716e+24,0.5196723170072268,4.3434690390320257e+24,0.5178708364315872,4.359896932162246e+24,0.5160473247861974,4.3765136283311446e+24,0.5142028558252844,4.3933098093834346e+24,0.512338463872881
79,1.5647193253030293e+22,0.990198401640875,1.7228884255400215e+24,-0.07923894666911724,1.700182045834023e+24,-0.065015385262992,1.678012551704335e+24,-0.05112813572435049,1.6563662492533257e+24,-0.03756862002374106,1.6352298526639223e+24,-0.024328515758499147
80,2.8794335408763327e+21,0.9832323549395251,1.9788123534533495e+24,-10.523107831094674,1.9519974957742104e+24,-10.36695836296904,1.9256762488182896e+24,-10.213683310692034,1.8998371345437535e+24,-10.06321583482155,1.874469000808125e+24,-9.915490993707065
81,1.713979233790654e+21,0.9996854392672205,2.7593277508489675e+24,0.4935900376305705,2.7583553285181645e+24,0.4937685029672082,2.7576626713173623e+24,0.4938956239686496,2.7572406099347337e+24,0.49397308344725954,2.757080277834692e+24,0.49400250864791717
82,4.852227411000261e+21,0.9996088138608225,6.420645003877229e+24,0.4823681749948314,6.454908606631394e+24,0.47960584641036985,6.489044961118643e+24,0.4768537765697872,6.523051904524996e+24,0.47411213983895284,6.556927417023511e+24,0.4713810990561338
83,6.253517640840247e+21,0.9993143577966285,3.763395411049767e+24,0.5873773978122262,3.7896583221883793e+24,0.5844979048141685,3.8159017595963404e+24,0.5816205469362716,3.842121456206418e+24,0.5787457920242423,3.868313341284503e+24,0.5758740863976182
84,3.597741939652935e+21,0.993990432232684,1.5187284859744785e+24,-1.5368416939590723,1.4935955447332186e+24,-1.4948603300606123,1.468988060144722e+24,-1.453756674295903,1.4448931747317687e+24,-1.4135092498936892,1.42129840625965e+24,-1.3740972068773392
85,1.8612001122339755e+22,0.9978838422449446,4.1951750454742885e+24,0.5230146319065383,4.2091053526277884e+24,0.5214307760213268,4.2232060168977574e+24,0.519827550777024,4.2374687353499976e+24,0.5182059002053048,4.251885509949326e+24,0.5165667336712648
86,2.868247959441969e+21,0.9985171416337675,1.0243502185134928e+24,0.4704201613829947,1.0144191041880117e+24,0.47555445805880103,1.0048025783041235e+24,0.48052611534319756,9.954919851539877e+23,0.4853396081591925,9.864789361450435e+23,0.4899992733335997
87,1.4142876904277187e+22,0.9927027704024004,1.1771333612363742e+24,0.3926403756411019,1.1618511969205592e+24,0.40052543767731463,1.1470045537484938e+24,0.40818578604303013,1.1325817357631517e+24,0.4156274554428112,1.1185714040797505e+24,0.4228562963444372
88,4.037733438930971e+21,0.9994141377387983,3.7617866580047507e+24,0.45417673777879386,3.75789633715362e+24,0.454741210943037,3.754456566788753e+24,0.45524031066679405,3.751453015346043e+24,0.455676116414369,3.7488718195799e+24,0.4560506396985403
89,6.89592151664184e+21,0.9984010275568624,2.4236250289520813e+24,0.4380287501183727,2.4151959011777895e+24,0.4399832304584189,2.4071465633451037e+24,0.4418496480719183,2.3994658990637462e+24,0.44363058054065996,2.3921431439699002e+24,0.44532852382128574
90,1.2111310729439242e+21,0.9957272810191596,1.9320326782213658e+24,-5.815969699938835,1.9000991670376112e+24,-5.70331226557209,1.868795792078589e+24,-5.592877873011535,1.8381074703309912e+24,-5.484613311272256,1.8080195538917604e+24,-5.378466904383899
91,6.264152829551293e+21,0.9985844466034955,2.418874460985317e+24,0.45339041812443015,2.415358577411451e+24,0.4541849263476686,2.4120960248806247e+24,0.4549221876249635,2.409078993953507e+24,0.4556039667086559,2.4062999274865148e+24,0.45623197133809335
92,2.0855570423658512e+21,0.9996968436315914,3.6782950360658625e+24,0.46532339206412376,3.678894065312613e+24,0.46523631723120074,3.679797568351843e+24,0.4651049841174787,3.680995255691734e+24,0.4649308884024851,3.6824771811128465e+24,0.4647154758677088
93,9.782581434972574e+21,0.9991863558931761,6.614132941232142e+24,0.4498844374405645,6.64089555590121e+24,0.4476585174363784,6.667695741192743e+24,0.4454294725805604,6.694527229704828e+24,0.4431978241501038,6.721384017897951e+24,0.44096407147584205
94,4.2770089326531177e+21,0.9978484830958925,1.610346464154504e+24,0.1899274250640861,1.5950791136100547e+24,0.19760754995850438,1.580206117613161e+24,0.2050892977888018,1.5657171534642483e+24,0.21237786131070602,1.551602209918736e+24,0.21947827660487174
95,2.682576915838354e+21,0.9926451556373989,2.7804727917367417e+24,-6.623246333378569,2.7358759653367004e+24,-6.500974828206932,2.692151844639305e+24,-6.381096027818304,2.649279609855878e+24,-6.2635528504177564,2.607239040726998e+24,-6.148289857944918
96,9.26722276592359e+21,0.9968638398580528,2.5206146466820473e+24,0.14698811199402784,2.491303980148393e+24,0.15690725890983948,2.4627713373421803e+24,0.16656311151783942,2.434996200819724e+24,0.1759626132131229,2.4079586743337816e+24,0.18511249716906353
97,6.054202549587051e+21,0.9988720280242184,3.290747057467805e+24,0.38689357850062345,3.2791875064085873e+24,0.38904726423224867,3.2681313897253127e+24,0.3911071539828084,3.257564044301654e+24,0.3930759796701988,3.247471270447904e+24,0.3949563868702698
98,1.8314972941938309e+22,0.9881664220168835,1.600327505408049e+24,-0.03399553981368064,1.580450676261363e+24,-0.021152823173581803,1.5610473425428104e+24,-0.008616039012402155,1.5421053993671295e+24,0.003622633817297438,1.5236131029808517e+24,0.015570783130302135
99,5.954972241574901e+21,0.9993049403161439,4.2325491995382015e+24,0.5059801810666121,4.2448017186700564e+24,0.5045500766549121,4.257179121545174e+24,0.5031053959107643,4.2696749394015363e+24,0.5016468938629917,4.2822829439258066e+24,0.5001752974754362
100,3.1448334823211543e+21,0.9984431694819345,1.1907128336909116e+24,0.41054491814487626,1.1742883407752017e+24,0.4186757625786667,1.1583412205328834e+24,0.4265702865997535,1.1428585919934584e+24,0.4342348668535414,1.1278279682790707e+24,0.44167568489229103
101,5.434942452814646e+21,0.9980267190409958,1.7519667635343048e+24,0.3639081397264661,1.738625094273341e+24,0.36875213985021305,1.7256937415247594e+24,0.37344716511947373,1.7131614884423591e+24,0.3779972880684509,1.701017463352558e+24,0.38240645590848277
102,1.4528930612958132e+21,0.9972561973583822,1.5484129628941058e+24,-1.924192902480284,1.5199427808758065e+24,-1.8704266875329312,1.4920724286161281e+24,-1.8177932569040305,1.4647871875800824e+24,-1.766264814497465,1.4380727694135258e+24,-1.7158143766178142
103,6.398852284642217e+21,0.9992293485305679,4.5659311621453014e+24,0.45009801712746933,4.573587521921063e+24,0.4491759166242505,4.5814114013440033e+24,0.4482336407432429,4.589395767184792e+24,0.44727203653768,4.5975338358894635e+24,0.44629192099092063
104,3.9131090828550965e+21,0.9994408994597027,3.6208533838557166e+24,0.4826566189732061,3.6202463782531563e+24,0.48274334723791057,3.620080263868701e+24,0.4827670814707503,3.620340417174334e+24,0.48272991106464613,3.6210126994782084e+24,0.48263385613968246
105,1.2947027250754366e+21,0.9997696727380739,3.013947432291347e+24,0.4638195732318924,3.010835341509336e+24,0.4643732133338271,3.008041317388212e+24,0.46487026946347754,3.005555311026591e+24,0.4653125293176611,3.003367601097863e+24,0.46570172231773244
106,6.611257818652777e+21,0.9993911386716482,5.768545891697821e+24,0.46874791293599716,5.79122792627366e+24,0.46665901940311993,5.814030596007663e+24,0.4645590160202475,5.836945621118869e+24,0.46244866531072604,5.859965044114692e+24,0.46032870011687355
107,2.1251471745156343e+22,0.9972614017315533,3.439994445974192e+24,0.5567006866073403,3.45179624162077e+24,0.5551798330161226,3.4638650698873294e+24,0.5536245679225174,3.476189794956954e+24,0.5520363263579089,3.4887596756621566e+24,0.5504164924966756
108,6.017127703552227e+21,0.9925817525833841,1.6319610949954167e+24,-1.0119717867746654,1.6039657997878142e+24,-0.9774576403940602,1.5765753580144064e+24,-0.943689190738987,1.5497747942918894e+24,-0.9106479753296748,1.5235495729409373e+24,-0.8783160737777054
109,6.058560869240985e+21,0.9968397572870136,1.7950803104336577e+24,0.06365726239142466,1.77464651907318e+24,0.0743158563445665,1.7547152453641443e+24,0.08471232901504877,1.7352735186234747e+24,0.09485344611960811,1.7163087569239263e+24,0.10474577059369217
110,7.674258072605608e+21,0.9991672658204508,4.965809003531297e+24,0.4611597828440561,4.979070993261033e+24,0.45972072358486815,4.992647518819376e+24,0.45824753402504437,5.006525583114762e+24,0.4567416244797292,5.020692648604809e+24,0.4552043553983588
111,4.772357939187768e+21,0.999412998186698,3.535796884438524e+24,0.5650956594035204,3.552073344426036e+24,0.563093648731112,3.5684387954313503e+24,0.5610806921301956,3.5848872149164694e+24,0.5590575303751997,3.6014128143085956e+24,0.5570248754627455
112,1.901255452504644e+22,0.9976528016904275,2.9386838202535175e+24,0.6372042648882075,2.9664212317221444e+24,0.6337799378086815,2.994164232116543e+24,0.6303549207473278,3.021907440512018e+24,0.626929878007164,3.04964571240179e+24,0.6235054447041921
113,9.842636241745775e+21,0.996412713307039,2.1855400378874227e+24,0.20344930948534412,2.1638919770114707e+24,0.21133924860341724,2.1428256802809266e+24,0.2190171556270386,2.1223257555097028e+24,0.22648864045410255,2.1023772772403979e+24,0.2337591428766942
114,6.273435515502296e+21,0.9923176003631126,1.5634647602873532e+24,-0.9146066102117458,1.5354352401437645e+24,-0.8802818809878428,1.5080183163657718e+24,-0.8467073324400594,1.4811987611644e+24,-0.813864316738159,1.4549617947737682e+24,-0.7817347346974519
115,2.6730940072701377e+21,0.9917847986605314,2.726368832434627e+24,-7.3789304914778775,2.682857278967717e+24,-7.245206734905334,2.640194897653204e+24,-7.114092733240335,2.5983614521047493e+24,-6.985526294136602,2.5573372883244526e+24,-6.859447015098205
116,2.606622498957805e+21,0.9871496065180896,2.0620214112688963e+24,-9.165563488201277,2.0297884808414373e+24,-9.006658299884405,1.9981749338080704e+24,-8.85080661100346,1.9671661026480413e+24,-8.697936112118478,1.9367477405183417e+24,-8.54797656768956
117,1.742577286249336e+21,0.9981526952820049,1.34862909161772e+24,-0.42968056764535856,1.3276266642212203e+24,-0.4074159119970513,1.3070931122303981e+24,-0.3856483107726105,1.2870166959681172e+24,-0.36436531875016165,1.2673860224137718e+24,-0.3435548581981269
